title,pubdate,source
"პაატა მანჯგალაძე - მიმყარდება ეჭვი, რომ მარტო სააკაშვილის ჩამოშორების ამბავი არ არის და ვიღაცას რაღაც ვალდებულება აქვს პუტინთან - იციან, რომ როცა პუტინს გადააგდებ, ეს მთავრდება პოლონიუმის მიღებით",2023-02-15 13:00:00+00,ipn.ge
რევაზ ჯაველიძე: მთავრობამ „ხედვა 2030 - საქართველოს განვითარების სტრატეგიის“ 2023 წლის სამოქმედო გეგმა დაამტკიცა,2023-02-15 13:00:08.55+00,imedinews.ge
რევაზ ჯაველიძე: საჯარო მმართველობის რეფორმის ახალი ფაზა ევროკავშირიდან ჩვენი პარტნიორების მხარდაჭერით დაიგეგმა,2023-02-15 13:00:08.55+00,imedinews.ge
აბდულა ოჯალანის მომხრეების საპროტესტო აქციის გამო ევროპარლამენტის პლენარული სხდომა დროებით შეწყდა,2023-02-15 13:00:08.55+00,imedinews.ge
WHO-მ შეაჩერა COVID-19-ის წარმომავლობაზე კვლევა,2023-02-15 13:01:41+00,radiotavisupleba.ge
ბათუმის სახელმწიფო უნივერსიტეტის დელეგაცია აშშ-ში სამუშაო ვიზიტით იმყოფება,2023-02-15 13:02:00+00,ipn.ge
„საქართველოს ბანკის“ მხარდაჭერით Startup Grind Tbilisi მორიგ ღონისძიებას გამართავს,2023-02-15 13:03:00+00,ipn.ge
პროკურატურამ ხობის მუნიციპალიტეტში მომხდარი განზრახ მკვლელობის ფაქტზე ერთ პირს ბრალდება წარუდგინა,2023-02-15 13:04:00+00,ipn.ge
დედაქალაქის მერმა წყნეთის გზატკეცილზე მიმდინარე მშენებლობის შეჩერების დავალება გასცა,2023-02-15 13:05:00+00,ipn.ge
"ბათუმში, აღმაშენებლის ქუჩაზე, კორპუსში ლიფტი ჩავარდა",2023-02-15 13:05:38+00,mtavari.tv
"დღევანდელი ევროპა და ევროკავშირი თვითმყოფადობის, ქრისტიანობისა და დემოკრატიის სერიოზულ კრიზისს განიცდის - ხალხის ძალა განცხადებას ავრცელებს",2023-02-15 13:07:00+00,rustavi2.ge
"„ხალხის ძალა“: დღევანდელი ევროპა და ევროკავშირი თვითმყოფადობის, ქრისტიანობისა და დემოკრატიის სერიოზულ კრიზისს განიცდის, რაც მის თითოეულ წევრ სახელმწიფოზე ვრცელდება",2023-02-15 13:09:00+00,imedinews.ge
ახალქალაქში მედიაციის სივრცე გაიხსნა,2023-02-15 13:10:00+00,ipn.ge
არარატ მირზოიანი: სომხეთს სურს თურქეთთან ურთიერთობების ნორმალიზაცია და საზღვრის სრული გახსნა,2023-02-15 13:10:13.538+00,imedinews.ge
"„შენი და კეზერაშვილის პოლიტიკური დაზავებიდან 18 წელი გადის, – იმ კეზერაშვილის, თავის ჯარისკაცებს  იარაღი რომ მოჰპარა,  გაყიდა  და  ამით  გამდიდრდა. შენზე კეზერაშვილის ნაცისტური ეფექტი დღესაც მუშაობს“ – თამთა მეგრელიშვილი – ფადი ასლის",2023-02-15 13:10:14.061+00,postv.media
"ბოლქვაძე გელათზე: საერთოდ, უნდა ითქვას, რომ სიძველის გადარჩენა არ არის ადვილი",2023-02-15 13:10:15.511+00,formulanews.ge
ევროკომისიამ რუსეთის წინააღმდეგ სანქციების მეათე პაკეტი ოფიციალურად წარადგინა - ჩამონათვალი,2023-02-15 13:12:33+00,mtavari.tv
შალვა პაპუაშვილი კორეის რესპუბლიკის ეროვნული ასამბლეის საქართველოსთან მეგობრობის ჯგუფის წევრებს შეხვდა,2023-02-15 13:13:00+00,ipn.ge
"კალაძემ დანაშაული ჩაიდინა - გოცირიძე ""ინტერრაოსთან"" წაგებულ დავაზე",2023-02-15 13:14:00+00,tvpirveli.ge
“ვოლტის” კურიერებმა თბილისში მორიგი აქცია გამართეს,2023-02-15 13:14:55+00,netgazeti.ge
გუდაური(ფოსტა)-კობის მონაკვეთზე მისაბმელიანი და ნახევრადმისაბმელიანი ავტოტრანსპორტის მოძრაობა აღდგა,2023-02-15 13:16:00+00,ipn.ge
"რუსეთი 11 ქვეყანასთან — უვიზო, 6-თან კი გამარტივებული სავიზო რეჟიმის შემოღებას გეგმავს",2023-02-15 13:16:20+00,netgazeti.ge
"ევროპაში ანალოგიური სურათია, რაც 2012-მდე ქართულ აგენტოკრატიაში იყო – ივანიშვილის დეპუტატები",2023-02-15 13:16:25+00,tabula.ge
"""ინტერრაოსთან"" წაგებულ დავაზე ""ოცნება"" პასუხიმსგებლობას სააკაშვილის მთავრობას აკისრებს ",2023-02-15 13:17:00+00,tvpirveli.ge
"ლარი დოლართან გამყარდა, ევროსთან გაუფასურდა - 15 თებერვლის ვაჭრობის შედეგები",2023-02-15 13:18:38+00,tabula.ge
"""მიგვაჩნია, რომ ჯაშუშობა თანაბრად სათაკილოა როგორც ჩრდილოური, ისე დასავლური სპეცსამსახურების სასარგებლოდ"" - ფრიდონ ინჯია",2023-02-15 13:20:00+00,rustavi2.ge
საფინანსო-საბიუჯეტო კომიტეტმა მუდმივმოქმედი აუდიტის ჯგუფის რეკომენდაციები დაამტკიცა,2023-02-15 13:20:07.763+00,imedinews.ge
"იენს სტოლტენბერგი: შევთანხმდით საჭიროებებზე მორგებული დახმარების გაძლიერებაზე, რათა გავზარდოთ ბოსნია-ჰერცეგოვინას, საქართველოსა და მოლდოვას თავდაცვისუნარიანობა, მდგრადობა და თავსებადობა ნატოს სტანდარტებთან",2023-02-15 13:20:07.763+00,imedinews.ge
"თურქეთის პოლიციამ 20 პირი დააკავა მიწისძვრაზე ""პროვოკაციული"" პოსტების გავრცელების გამო",2023-02-15 13:20:24+00,tabula.ge
"რატი იონათამიშვილი: ნამდვილად არ მეგონა, თუ ასე მალე გახდებოდა „ხალხის ძალა“ EPP-ს შთაგონების წყარო",2023-02-15 13:22:00+00,imedinews.ge
"იაგო ხვიჩია: ვფიქრობ, „ქართულმა ოცნებამ“ უნდა მიიღოს აგენტების რეესტრის კანონი, ოღონდ არა „ხალხის ძალის“, არამედ თავისი სახელით",2023-02-15 13:24:00+00,imedinews.ge
170 გაყიდული პორშე და 20 მილიონი ლარის ინვესტიცია ახალ შოურუმში – „პორშე ცენტრი თბილისის“ 2022,2023-02-15 13:24:52+00,netgazeti.ge
"ზურაბ აზარაშვილი: თბილისს ექნება ახალი რესპუბლიკური საავადმყოფო, რომელიც ხარისხიანი ჯანდაცვისთვის აუცილებელ ყველა სტანდარტს დააკმაყოფილებს",2023-02-15 13:25:00+00,imedinews.ge
"ბათუმში, ლიფტის ჩავარდნის შედეგად სამი ადამიანი დაშავდა",2023-02-15 13:26:44+00,mtavari.tv
EU-ის არცერთ ქვეყანაში არ ანიჭებენ NGO-ებს “უცხოური აგენტის” სტატუსს – IDFI,2023-02-15 13:28:20+00,netgazeti.ge
"გიული ალასანია - გონების კარგვაზე არაფერი გამიგია, მაგრამ მიხეილ სააკაშვილი ძალიან ცუდად რომ არის და ნებისმიერი მომენტში რომ შეიძლება უბრალოდ გაქრეს, ამას ვხედავ",2023-02-15 13:29:00+00,ipn.ge
"ბა­თუმ­ში, აღ­მა­შე­ნებ­ლის ქუ­ჩა­ზე სა­ცხოვ­რე­ბელ კორ­პუს­ში ლიფ­ტი ჩა­ვარ­და",2023-02-15 13:29:00+00,rustavi2.ge
"გიული ალასანია - გონების კარგვაზე არაფერი გამიგია, მაგრამ მიხეილ სააკაშვილი ძალიან ცუდად რომ არის და ნებისმიერ მომენტში შეიძლება უბრალოდ გაქრეს, ამას ვხედავ",2023-02-15 13:29:00+00,ipn.ge
"2 წელი სიმართლის დადგენის მოლოდინში- ""კურიერმა"" 19 წლის შოთა ქულუსაშვილის მკვლელობის ახალი დეტალები გაარკვია ",2023-02-15 13:30:00+00,rustavi2.ge
"„ჯაშუშობა თანაბრად სათაკილოა როგორც ჩრდილოური, ისე დასავლური სპეცსამსახურების სასარგებლოდ. მიგვაჩნია, რომ საზოგადოება სრულად უნდა იყოს ინფორმირებული ჯაშუშების საქმიანობის შესახებ, ვის სასარგებლოდაც არ უნდა მუშაობდნენ ისინი“ – ფრიდონ ინჯია",2023-02-15 13:30:13.708+00,postv.media
"ირაკლი ქარქაშაძე: ADB-ის კვლევამ ჩვენ უნდა მოგვცეს სამოქმედო გეგმა, როგორ უნდა განვავითაროთ ყველა ჩვენი აეროპორტი თანმიმდევრულად მომდევნო 10 წლის განმავლობაში",2023-02-15 13:30:13.768+00,imedinews.ge
"იენს სტოლტენბერგი: უკრაინის წევრობაზე ალიანსის პოზიცია არ შეცვლილა. უკრაინა აუცილებლად გახდება ნატოს წევრი, რისი პირობაც ქვეყანამ წლების წინ მიიღო",2023-02-15 13:30:13.768+00,imedinews.ge
"ჰოჯესი: თეთრი სახლი დარწმუნებულია, რომ რუსეთი ბირთვულ იარაღს არ გამოიყენებს",2023-02-15 13:30:14.283+00,formulanews.ge
